,total
0,0.056919462606310846
1,0.06099565662443638
2,0.057725948840379716
3,0.055023687332868575
4,0.05439598485827446
5,0.05494414381682873
6,0.05570019744336605
7,0.05484733544290066
8,0.05614704899489879
9,0.05197131261229515
10,0.05276871472597122
11,0.05168097577989102
12,0.05194723978638649
13,0.05038529857993126
14,0.05103857256472111
15,0.050398265942931175
16,0.051417773589491844
17,0.05130091719329357
18,0.04899765439331531
19,0.04949410818517208
20,0.04941723570227623
21,0.04563910849392414
22,0.04479045681655407
23,0.047378337010741234
24,0.049218418821692464
25,0.04533247873187065
26,0.04168157875537872
27,0.04073404148221016
28,0.047005254030227664
29,0.042423558235168454
30,0.0417408250272274
31,0.04412795305252075
32,0.04120633527636528
33,0.03775194399058819
34,0.03875245861709118
35,0.03904967308044434
36,0.03622915092855692
37,0.031524098850786685
38,0.033045073971152306
39,0.03283076174557209
40,0.030489091016352176
41,0.030901242792606354
42,0.027757149748504163
43,0.028202299028635025
44,0.02810326386243105
45,0.02322292812168598
46,0.02480510398745537
47,0.023817375116050244
48,0.02200773060321808
49,0.022134089842438698
50,0.020568916201591493
51,0.020769852958619595
52,0.019452929217368364
53,0.021208164654672144
54,0.021062473766505718
55,0.021204978227615356
56,0.01930143926292658
57,0.019118404760956765
58,0.01648299004882574
59,0.01897835833951831
60,0.016525728069245814
61,0.01690483298152685
62,0.0163845838047564
63,0.01586196729913354
64,0.018355570454150438
65,0.019928292836993933
66,0.01858478123322129
67,0.017964316159486772
68,0.0163059601560235
69,0.01574256122112274
70,0.015633223857730628
71,0.014245149586349726
72,0.016165055707097052
73,0.015299611072987319
74,0.016127144265919924
75,0.014464224316179752
76,0.015332258399575948
77,0.01380055509507656
78,0.014897638652473687
79,0.01504625789821148
80,0.013777022249996662
81,0.014671839028596877
82,0.013968136999756098
83,0.013988906517624855
84,0.014101122226566076
85,0.013378826249390841
86,0.012973052635788917
87,0.012372950837016106
88,0.012650497164577246
89,0.014164666924625636
90,0.015361098758876323
91,0.013767123781144619
92,0.014238863252103329
93,0.013282150030136108
94,0.013862692471593618
95,0.014306316804140806
96,0.012848274037241935
97,0.013621877133846282
98,0.013404190354049206
99,0.01301520224660635
100,0.012137605436146259
101,0.011078241281211376
102,0.011536585167050362
103,0.012723031733185054
104,0.012555538024753333
105,0.011650511622428894
106,0.011636653635650872
107,0.010474877059459686
108,0.011737442668527364
109,0.011410159803926945
110,0.012894692923873663
111,0.010870586149394512
112,0.010392300225794316
113,0.011125508975237609
114,0.011342074628919363
115,0.011504603270441293
116,0.011154606938362122
117,0.009876764379441738
118,0.010030381754040718
119,0.010444147419184447
120,0.010676742438226939
121,0.010578667279332876
122,0.010231607593595982
123,0.009688736125826835
124,0.009023442305624485
125,0.009711811412125826
126,0.009904641518369317
127,0.010843482054769992
128,0.010561837535351514
129,0.010434348322451114
130,0.011286190804094076
131,0.011220482178032398
132,0.010360204707831144
133,0.009962059650570154
134,0.010980316810309887
135,0.010429387958720327
136,0.009772300627082587
137,0.009540619421750307
138,0.009911966696381568
139,0.009665519278496505
140,0.009548476431518793
141,0.009275169298052787
142,0.009768973384052516
143,0.01025815512984991
144,0.010109620913863183
145,0.011186334956437349
146,0.01056833416223526
147,0.009456370864063502
148,0.008966132253408431
149,0.00907078692689538
150,0.01042634667828679
151,0.010131411254405975
152,0.009306163853034377
153,0.008663810789585114
154,0.008958772011101245
155,0.00849221246317029
156,0.00905860965140164
157,0.008688191510736942
158,0.008706159796565771
159,0.00895607816055417
160,0.009192944504320621
161,0.008206805353984237
162,0.008331769052892924
163,0.008553758263587952
164,0.008255239902064204
165,0.008742915000766516
166,0.009098208276554942
167,0.009314250946044923
168,0.009704852942377329
169,0.00880029476247728
170,0.008841828163713216
171,0.009523432701826096
172,0.009848822187632323
173,0.009846839308738708
174,0.009690898703411222
175,0.008837221330031753
176,0.009777042642235756
177,0.00962816085666418
178,0.008336499566212296
179,0.008991033025085925
180,0.007798553397879005
181,0.00781322126276791
182,0.008117348281666636
183,0.008693794626742602
184,0.007956489128991962
185,0.007608888950198889
186,0.007498782733455301
187,0.00834773350507021
188,0.008346819411963224
189,0.00874195909127593
190,0.008539670147001743
191,0.008551944885402918
192,0.008388702617958188
193,0.008795067388564348
194,0.009174813143908977
195,0.009602510649710894
196,0.008144435938447714
197,0.007839916180819273
198,0.00820767693221569
199,0.008641793392598629
200,0.008020916674286126
201,0.007448698207736015
202,0.007589207589626312
203,0.007688029203563929
204,0.008586969738826156
205,0.009226546622812748
206,0.008182395435869693
207,0.007980677345767618
208,0.007906602090224623
209,0.007959754019975663
210,0.007351531879976392
211,0.007250767247751355
212,0.007949770009145141
213,0.00926881548948586
214,0.008659388637170196
215,0.008053783467039466
216,0.007079640682786703
217,0.0077455150429159405
218,0.007188950199633837
219,0.007110733212903142
220,0.007429679110646248
221,0.007611323148012161
222,0.0072014083620160815
223,0.007960123009979725
224,0.008112852927297354
225,0.008100568456575275
226,0.008010468818247319
227,0.008190300827845932
228,0.0077309114392846824
229,0.008171312231570482
230,0.007735895644873381
231,0.007444127835333348
232,0.007737096026539802
233,0.007736762426793576
234,0.007695221016183496
235,0.008859060471877456
236,0.007301398552954197
237,0.007682844065129757
238,0.007424891879782081
239,0.007582182763144374
240,0.007074495265260339
241,0.00703711174428463
242,0.007902156608179212
243,0.007856583781540393
244,0.008071467373520136
245,0.0075032296124845745
246,0.007587010320276022
247,0.0072405178565531966
248,0.0073350916616618635
249,0.006626308290287852
250,0.007123175682500005
251,0.006349974684417248
252,0.00672225640155375
253,0.007332316366955638
254,0.007611799286678433
255,0.007334433076903224
256,0.007231540838256478
257,0.007416859548538923
258,0.006675562402233481
259,0.006593756889924407
260,0.006795260403305292
261,0.007189651485532522
262,0.007385488133877516
263,0.007163614453747869
264,0.0069849672727286816
265,0.006837283540517092
266,0.006881075957790017
267,0.007533381599932909
268,0.00719039929099381
269,0.007013794826343655
270,0.007331113843247294
271,0.007729134382680058
272,0.007602810626849532
273,0.006732157850638032
274,0.006845063995569944
275,0.00755188507027924
276,0.007282750587910414
277,0.007472201623022557
278,0.006376657076179982
279,0.0067432121839374306
280,0.006160408817231655
281,0.006359157431870699
282,0.006636889837682247
283,0.008072287263348698
284,0.00800932697020471
285,0.0075024600140750405
286,0.0075934416148811575
287,0.006555071286857128
288,0.00672278213314712
289,0.007538630161434412
290,0.007089024223387241
291,0.006548275984823704
292,0.006365232495591044
293,0.0068794168997555975
294,0.007127053616568446
295,0.006866426486521959
296,0.006552780931815505
297,0.006193414889276027
